Entity,Code,Year,RuralElectricity,UrbanElectricity,Continent
Democratic Republic of Congo,COD,2018,1,40.51482391357420,
Equatorial Guinea,GNQ,2018,1.9623908996582000,91.35497283935550,
Chad,TCD,2018,2.3080830574035600,36.16019058227540,
Central African Republic,CAF,2018,2.5289759635925300,32.29737854003910,
Haiti,HTI,2018,2.972567558288570,78.93367004394530,
Burundi,BDI,2018,3.3108294010162400,61.429931640625,
South Sudan,SSD,2018,4.6811699867248500,12.287593841552700,
Sierra Leone,SLE,2018,6.431514263153080,53.20000076293950,
Angola,AGO,2018,7.333445072174070,65.2699966430664,
Liberia,LBR,2018,7.805598258972170,37.2743034362793,
Mozambique,MOZ,2018,7.993288040161130,72.19999694824220,
Malawi,MWI,2018,11.419637680053700,50.38972091674810,
Niger,NER,2018,11.698202133178700,47.630001068115200,
Zambia,ZMB,2018,12.466436386108400,76.46187591552730,
Congo,COG,2018,13.028669357299800,64.4184799194336,
Guinea-Bissau,GNB,2018,13.342859268188500,48.28797149658200,
Benin,BEN,2018,16.747350692749000,64.3030776977539,
Tanzania,TZA,2018,18.61887550354000,67.26036071777340,
Guinea,GIN,2018,21.400909423828100,86.69999694824220,
Gabon,GAB,2018,22.788902282714800,97.86176300048830,
Djibouti,DJI,2018,25.366147994995100,70.6211929321289,
Cameroon,CMR,2018,26.276533126831100,90,
Togo,TGO,2018,26.322757720947300,83.0999984741211,
Zimbabwe,ZWE,2018,26.61712074279790,85.46876525878910,
Rwanda,RWA,2018,27.11992835998540,84.34043884277340,
Sub-Saharan Africa,,2018,27.123762130737300,73.83409118652340,
Low income,,2018,28.416494369506800,65.18804168701170,
Botswana,BWA,2018,28.752033233642600,85.59798431396480,
Uganda,UGA,2018,32.54463577270510,71.9800033569336,
Ethiopia,ETH,2018,32.629947662353500,91.92124938964840,
Namibia,NAM,2018,33.596614837646500,74.38308715820310,
Eritrea,ERI,2018,34.98842239379880,76.62067413330080,
Somalia,SOM,2018,35.22462844848630,69.781005859375,
Sudan,SDN,2018,37.7626838684082,80.15145874023440,
Cote d'Ivoire,CIV,2018,40.2665901184082,93.20343780517580,
Senegal,SEN,2018,41.42455291748050,93.5,
Vanuatu,VUT,2018,51.047061920166000,93.412353515625,
Kenya,KEN,2018,51.615177154541000,87.38800048828130,
Papua New Guinea,PNG,2018,51.78337097167970,81.73261260986330,
Myanmar,MMR,2018,54.822750091552700,92.11804962158200,
Sao Tome and Principe,STP,2018,55.741668701171900,76.69999694824220,
Pakistan,PAK,2018,57.126426696777300,99.82723236083980,
North Korea,PRK,2018,60.028228759765600,40,
Solomon Islands,SLB,2018,63.96145248413090,73.30209350585940,
Ghana,GHA,2018,68.27960968017580,89.9000015258789,
Nicaragua,NIC,2018,69.21110534667970,99.80741119384770,
Syria,SYR,2018,69.45765686035160,100,
Eswatini,SWZ,2018,69.5391845703125,87.92899322509770,
Micronesia (country),FSM,2018,75.46004486083980,94.14837646484380,
Cambodia,KHM,2018,75.49405670166020,99.35926818847660,
Comoros,COM,2018,76.00947570800780,96.20431518554690,
South Africa,ZAF,2018,77.16849517822270,88.51881408691410,
Bolivia,BOL,2018,77.58667755126950,99.5,
Timor,TLS,2018,79.08077239990230,99.6858901977539,
Peru,PER,2018,81.79998016357420,99,
