Entity,Code,Year,RuralAccess,UrbanAccess,Continent
Democratic Republic of Congo,COD,2019,1,41.181148529052700,
Equatorial Guinea,GNQ,2019,1.4337375164032000,91.16112518310550,
Sierra Leone,SLE,2019,1.5008399486541700,51.400001525878900,
Central African Republic,CAF,2019,1.5315674543380700,32.099998474121100,
Haiti,HTI,2019,2.6497151851654100,79.77906036376950,
Burundi,BDI,2019,3.451540946960450,62.59404373168950,
Malawi,MWI,2019,4.087883949279790,45.5,
Mozambique,MOZ,2019,5.092288017272950,72.38905334472660,
South Sudan,SSD,2019,5.114366054534910,13.117988586425800,
Liberia,LBR,2019,8.272083282470700,37,
Niger,NER,2019,12.811040878295900,50.12732696533200,
Congo,COG,2019,13.91883659362790,65.10942840576170,
Guinea-Bissau,GNB,2019,14.33034610748290,52.32109069824220,
Mali,MLI,2019,15.030887603759800,91.08195495605470,
Guinea,GIN,2019,17.02362060546880,86,
Benin,BEN,2019,17.475679397583000,65.2243881225586,
Tanzania,TZA,2019,20.55729866027830,70.12944030761720,
Togo,TGO,2019,23.571670532226600,91.7203140258789,
Cameroon,CMR,2019,24.176877975463900,93.18579864501950,
Gabon,GAB,2019,25.126567840576200,98.22552490234380,
Djibouti,DJI,2019,25.16541862487790,71.42930603027340,
Botswana,BWA,2019,27.125328063964800,88.16737365722660,
Sub-Saharan Africa,,2019,29.198841094970700,75.89472961425780,
Rwanda,RWA,2019,30.39999771118160,87.97874450683590,
Low income,,2019,30.91975212097170,68.33142852783200,
Uganda,UGA,2019,31.7989559173584,70.80000305175780,
Lesotho,LSO,2019,32.45329284667970,74.59745025634770,
Namibia,NAM,2019,35.00444793701170,74.5261001586914,
Ethiopia,ETH,2019,36.05718994140630,92.62444305419920,
Eritrea,ERI,2019,36.98405075073240,76.46197509765630,
Sudan,SDN,2019,39.513526916503900,80.8720474243164,
Cote d'Ivoire,CIV,2019,41.792259216308600,93.8371810913086,
Senegal,SEN,2019,47.8238410949707,95.19999694824220,
Vanuatu,VUT,2019,54.39646911621090,94.5387191772461,
Papua New Guinea,PNG,2019,56.13419723510740,82.76648712158200,
Myanmar,MMR,2019,57.5816764831543,92.51248168945310,
Pakistan,PAK,2019,59.018245697021500,99.95748901367190,
Yemen,YEM,2019,60.67680358886720,93.07095336914060,
Kenya,KEN,2019,61.69374084472660,90.80000305175780,
North Korea,PRK,2019,63.05318832397460,42,
Solomon Islands,SLB,2019,68.0398178100586,75.34918212890630,
Sao Tome and Principe,STP,2019,68.06623840332030,77.44280242919920,
Ghana,GHA,2019,70.00862121582030,93.80000305175780,
Nicaragua,NIC,2019,71.13448333740230,99.93611907958980,
Eswatini,SWZ,2019,72.69454956054690,90.10369110107420,
Syria,SYR,2019,76.24828338623050,100,
Micronesia (country),FSM,2019,77.09455871582030,95.4274673461914,
South Africa,ZAF,2019,77.61182403564450,88.66270446777340,
Comoros,COM,2019,78.67218017578130,97.9616928100586,
Cambodia,KHM,2019,79.96975708007810,96.9000015258789,
Honduras,HND,2019,80.31062316894530,99,
Peru,PER,2019,82.94782257080080,99.08572387695310,
Low and middle income,,2019,83.07945251464840,96.89965057373050,
World,OWID_WRL,2019,84.24698638916020,97.64521789550780,
Bolivia,BOL,2019,84.92347717285160,99.4800033569336,
Timor,TLS,2019,86.69058227539060,99.96511840820310,
Lower middle income,,2019,86.88997650146480,97.65276336669920,
Cape Verde,CPV,2019,87.28790283203130,93.5,
Panama,PAN,2019,87.82511901855470,99.56671142578130,
Belize,BLZ,2019,87.83975982666020,98.4800033569336,
Bangladesh,BGD,2019,88.85359954833980,97.80000305175780,
Guyana,GUY,2019,90.17095947265630,96.7084732055664,
Middle income,,2019,90.71651458740230,98.79276275634770,
South Asia,,2019,91.20999908447270,99.57528686523440,
Kiribati,KIR,2019,91.61837005615230,88.72692108154300,
Latin America and Caribbean,,2019,91.71424102783200,99.60295104980470,
Mongolia,MNG,2019,91.87802124023440,99.68609619140630,
El Salvador,SLV,2019,93.62313842773440,98.76000213623050,
Philippines,PHL,2019,93.70012664794920,97.82524871826170,
Middle East and North Africa,,2019,93.89546966552730,99.65526580810550,
Guatemala,GTM,2019,94.14087677001950,97.25354766845700,
Suriname,SUR,2019,95.41397094726560,99.06242370605470,
India,IND,2019,96.03021240234380,99.73772430419920,
Dominican Republic,DOM,2019,96.2982177734375,99.5999984741211,
East Asia and Pacific,,2019,96.48029327392580,99.12174224853520,
Afghanistan,AFG,2019,97.07563018798830,99.5,
Indonesia,IDN,2019,97.52716827392580,99.88999938964840,
Ecuador,ECU,2019,97.75747680664060,99.83999633789060,
Tonga,TON,2019,97.921875,99.9910659790039,
Mexico,MEX,2019,98.23820495605470,99.9310531616211,
Brazil,BRA,2019,98.48208618164060,100,
Jamaica,JAM,2019,98.56327056884770,100,
Algeria,DZA,2019,98.6810531616211,99.80000305175780,
Colombia,COL,2019,98.70829772949220,100,
Laos,LAO,2019,98.78498077392580,99.64654541015630,
Costa Rica,CRI,2019,98.86599731445310,99.91999816894530,
Upper middle income,,2019,98.87120056152340,99.6567153930664,
Morocco,MAR,2019,98.92781829833980,99.994873046875,
Samoa,WSM,2019,99.04576110839840,99.9000015258789,
Vietnam,VNM,2019,99.05320739746090,100,
Paraguay,PRY,2019,99.37535858154300,99.9000015258789,
Fiji,FJI,2019,99.38156127929690,99.97067260742190,
Cuba,CUB,2019,99.46315002441410,99.9000015258789,
Tuvalu,TUV,2019,99.52812957763670,99.80000305175780,
Sri Lanka,LKA,2019,99.70345306396480,100,
Lebanon,LBN,2019,99.77645111083980,100,
Venezuela,VEN,2019,99.80284118652340,100,
Tajikistan,TJK,2019,99.83033752441410,99.1084976196289,
Thailand,THA,2019,99.9000015258789,99.9000015258789,
